"softwareType","industryDomain","numUsers","targetMarket","adminDashboard","contentManagement","extraFeatures","thirdPartyService","authentication","dataMigration","uiUxDesign","performance","security","availability","timeline_months","Price"
"Mobile","Fintech","01/10","Local","Basic","Pages_and_Media","Search_and_Filter","Mail","Basic","No","Basic","Medium","Null","Normal","6","610"
"Web","Ecommerce","100-500","Global","Advanced","Pages_and_Media","AI_ML_Module","Analytics, Payment_Gateway","Multi_Factor","Yes","Advanced","High","High","Always","20","1745"
"Desktop","Edtech","500-1000","Local","Professional","Blog","Reporting_and_Analysis","Mail, Analytics","Multi_Factor","Yes","Custom","High","High","Always","28","1820"
"Hybrid","Travel","10/30","Both","Null","Null","Map","Map","Null","No","Custom","Medium","Null","Normal","5","475"
"Mobile","Healthcare","30-50","Global","Advanced","Pages_and_Media","File_Handling","Analytics, Mail","Multi_Factor","Yes","Custom","High","High","Always","8","1290"
"Web","Social_Networking","10/30","Local","Null","Blog","Search_and_Filter","Social","Null","No","Advanced","Medium","Null","Normal","9","695"
"Desktop","Restaurant_Management","100-500","Local","Professional","Workflow","Offile_Mode","Map, Payment_Gateway","Null","Yes","Custom","High","High","Always","12","1425"
"Hybrid","Content_Management","50-100","Global","Basic","Blog","Search_and_Filter","Mail","Null","No","Basic","Medium","Normal","Normal","14","915"
"Mobile","Others","30-50","Local","Null","Pages_and_Media","File_Handling","Mail","Null","No","Basic","Basic","Null","Normal","4","395"
"Web","Hotel_Management","500-1000","Global","Advanced","Pages_and_Media","Reporting_and_Analysis","Map","Multi_Factor","Yes","Advanced","High","High","Always","10","1410"
"Desktop","Fintech","30-50","Local","Advanced","Workflow","Reporting_and_Analysis","Mail, Payment_Gateway","Multi_Factor","Yes","Advanced","High","High","Always","11","1580"
"Mobile","Ecommerce","50-100","Global","Professional","Pages_and_Media","Search_and_Filter","Analytics, Payment_Gateway","Social","Yes","Custom","High","High","Always","18","1510"
"Hybrid","Travel","500-1000","Local","Null","Null","Map","Analytics","Null","No","Custom","Medium","Null","Normal","6","690"
"Web","Content_Management","100-500","Global","Professional","Blog","AI_ML_Module","Mail, Analytics","Multi_Factor","Yes","Advanced","High","High","Always","22","1798"
"Desktop","Healthcare","01/10","Local","Basic","Pages_and_Media","Reporting_and_Analysis","Mail, Payment_Gateway","Null","No","Custom","High","Standard","Normal","5","985"
"Mobile","Social_Networking","30-50","Global","Null","Null","Search_and_Filter","Social","Null","No","Custom","Medium","Null","Normal","7","725"
"Hybrid","Restaurant_Management","10/30","Both","Advanced","Workflow","Offile_Mode","Mail, Map","Null","Yes","Custom","Basic","High","Always","10","1190"
"Web","Fintech","100-500","Global","Professional","Workflow","Reporting_and_Analysis","Mail, Payment_Gateway","Multi_Factor","Yes","Advanced","High","High","Always","16","1795"
"Desktop","Ecommerce","500-1000","Local","Null","Null","AI_integration","Mail","Null","No","Basic","Basic","Null","Normal","6","1120"
"Mobile","Hotel_Management","50-100","Both","Professional","Workflow","Offile_Mode","Mail, Payment_Gateway","Social","Yes","Custom","High","High","Always","13","1455"
"Hybrid","Edtech","30-50","Global","Professional","Pages_and_Media","Reporting_and_Analysis","Mail, Analytics","Multi_Factor","Yes","Advanced","High","High","Always","24","1685"
"Web","Others","01/10","Local","Basic","Blog","Payment_Gateway","Mail","Null","No","Basic","Basic","High","Normal","8","715"
"Desktop","Content_Management","500-1000","Global","Advanced","Blog","AI_ML_Module","Payment_Gateway, Mail","Multi_Factor","Yes","Advanced","High","High","Always","20","1715"
"Mobile","Fintech","100-500","Local","Null","Pages_and_Media","Search_and_Filter","Mail","Null","No","Basic","Medium","Null","Normal","7","880"
"Hybrid","Hotel_Management","50-100","Global","Professional","Workflow","Reporting_and_Analysis","Mail, Analytics","Multi_Factor","Yes","Custom","High","High","Always","18","1625"
"Web","Travel","30-50","Global","Basic","Blog","Offile_Mode","Map","Social","No","Custom","High","Normal","Always","6","995"
"Desktop","Social_Networking","10/30","Local","Advanced","Pages_and_Media","Search_and_Filter","Social","Multi_Factor","Yes","Advanced","Basic","High","Always","9","1185"
"Mobile","Content_Management","100-500","Both","Professional","Pages_and_Media","Search_and_Filter","Map, Mail","Null","Yes","Basic","Medium","High","Always","20","1365"
"Hybrid","Analytics","500-1000","Global","Advanced","Null","Reporting_and_Analysis","Analytics","Multi_Factor","Yes","Advanced","High","High","Always","18","1720"
"Web","Ecommerce","10/30","Local","Null","Pages_and_Media","AI_ML_Module","Analytics","Null","No","Custom","Medium","Null","Normal","28","1135"
"Desktop","Fintech","500-1000","Global","Professional","Workflow","Reporting_and_Analysis","Mail, Payment_Gateway","Multi_Factor","Yes","Advanced","High","High","Always","20","1850"
"Mobile","Others","50-100","Global","Basic","Pages_and_Media","Reporting_and_Analysis","Map","Null","No","Basic","Medium","Normal","Normal","12","975"
